StationCode,StationName,Longitude,Latitude,Address
3414,دوراهی,51.40848876,35.72271471,
3416,بیهقی,51.41862741,35.73424381,
3422,میدان انقلاب,51.39136975,35.69888278,
3434,دو راهی,51.40839865,35.72354837,
3440,شهید گمنام,51.39801052,35.7264451,
3454,شهرک والفجر,51.39446185,35.74902208,
3460,میدان هفت تیر,51.4262833,35.71648791,
3462,میدان ولیعصر عج,51.40356066,35.71048035,
3473,انقلاب اسلامی,51.39058711,35.70514613,
3480,میدان ولیعصر عج پیروزان,51.40742819,35.71422209,
3481,چهار فصل,51.40502527,35.74527033,
3483,ششم,51.40547516,35.73880436,
3485,هفتم,51.40537077,35.7411594,
3489,ششم,51.40575749,35.73621614,
3491,م فرهنگ,51.40590195,35.73406132,
3493,م فرهنگ,51.40599669,35.73415874,
3495,چهارم,51.40666409,35.73078509,
3497,سوم,51.40730088,35.72840037,
3499,چهارم,51.4068514,35.73039038,
3501,سوم,51.40770609,35.72619401,
3539,میدان شعاع,51.42068896,35.72155596,
3543,هفت تیر,51.42476817,35.71601086,
3579,خیابان شصت و چهار,51.40410412,35.74648778,
3581,خیابان شصت و چهار,51.40360194,35.74655938,
3583,آزادگان,51.39699532,35.73671995,
3591,دژبان,51.38447099,35.71300805,
3599,آمار,51.39737198,35.71709131,
3601,کاج,51.40006548,35.71803159,
3621,پارک,51.39496451,35.71385556,
3625,مدرسه,51.3964117,35.71032564,
3646,میدان ولیعصر عج,51.40348448,35.7104573,
3679,میدان ولیعصر عج,51.40721565,35.7130121,
3683,میدان ولیعصرعج خیابان معلم,51.40920725,35.71192917,
3698,هفتم تیر,51.42381423,35.71545689,
3707,معلم,51.44521055,35.72758401,
3709,مخابرات,51.44570231,35.73568406,
3710,اندیشه,51.44376473,35.73136989,
3713,شهید قدوسی,51.44528196,35.73200099,
3714,پلیس,51.44433098,35.725788,
3719,هویزه,51.4452922,35.73420409,
3730,سهروردی,51.43830893,35.73117518,
3732,شهید کاووسی فر,51.43573779,35.73106913,
3734,بوستان اندیشه,51.44609749,35.73831913,
3736,پالیزی,51.44628593,35.73870692,
3742,م تختی,51.43260458,35.73095607,
3744,مصلی,51.42666616,35.73028174,
3746,شهید مدرس,51.42071675,35.72910559,
3748,قائم مقام فراهانی,51.41836191,35.72846579,
3754,پایانه شهید بهشتی,51.42766747,35.72863313,
3773,شهید سلیمان خاطر,51.43194053,35.72433254,
3780,پیچ شمیران,51.4304238,35.70227218,
3782,سهروردی,51.43661466,35.72448791,
3784,اول شهید مطهری,51.41253837,35.72370172,
3786,چهارراه قصر,51.44513897,35.73096649,
3846,سیزده آبان,51.3930711,35.74670691,
3852,سیزده آبان,51.39318089,35.74681261,
3853,پیچ شمیران  م قدس,51.43123362,35.70339408,
3855,پیچ شمیران  م رسالت,51.42839635,35.70259613,
3863,ترکمنستان,51.440525,35.72241103,
3865,ملک,51.43938467,35.71881528,
3867,پیچ شمیران,51.43158389,35.70388126,
3872,سیدخندان,51.44409822,35.74210063,
3875,سید خندان,51.4465644,35.74199684,
3879,میرعماد,51.42585663,35.72416305,
3895,خیابان معلم میدان ولیعصرعج,51.4512249,35.72795609,
3902,مصلی امام خمینی ره,51.42777731,35.74018015,
3903,شهید مفتح,51.42805734,35.72423773,
3907,باشگاه بانک سپه,51.43967526,35.72409654,
3908,ترکمنستان,51.44263184,35.72358337,
3911,بهار شیراز,51.43581652,35.71675003,
4002,پارک مریم,51.48088876,35.71235244,
4004,سنگکی,51.49018016,35.73508671,
4006,سامان شمالی,51.48949655,35.73162551,
4008,گلبرگ,51.48922476,35.73023972,
4009,پایانه شهید اسلام پناه پیچ شمیران,51.48732399,35.73633629,
4010,مدرسه,51.48869811,35.72752676,
4011,گلبرگ,51.48682891,35.73087148,
4012,مسجد,51.48800471,35.72397653,
4013,مدرسه,51.48648479,35.72910564,
4038,پایانه علم و صنعت  پایانه افق,51.50659176,35.73356733,
4044,بوستان جانبازان,51.47612382,35.73260362,
4047,مسجدجامع,51.48569399,35.72504777,
4049,اول سمنگان,51.48508916,35.72198733,
4052,پایانه علم و صنعت  پایانه بیهقی,51.50733328,35.73362147,
4060,بهار,51.52414692,35.72491687,
4064,م رسالت,51.48711517,35.73571047,
4066,راهنمایی و رانندگی,51.47797021,35.73463913,
4072,پایانه سمنگان رسالت   وحیدیه,51.48759691,35.73622343,
4073,باشگاه,51.47391534,35.72208431,
4085,شانزده متری اول,51.4694407,35.73187671,
4087,شانزده متری,51.46726096,35.73193396,
4089,شهرداری,51.47222947,35.73229457,
4091,شهرداری,51.47560127,35.73249233,
4093,کرمان,51.47986366,35.73225176,
4096,پایانه شهید اسلام پناه رسالت شهید مطهری,51.48736751,35.73634653,
4136,وحیدیه,51.47959485,35.71132842,
4155,وحیدیه,51.47942362,35.71127578,
4156,نجاری,51.47621496,35.71305112,
4189,کرمان,51.4784988,35.73586074,
4191,م تسلیحات,51.47415692,35.71869941,
4193,م تسلیحات,51.47444102,35.71872489,
4195,شهید جعفری,51.47426986,35.71613202,
4197,درختی,51.47496664,35.71551318,
4199,اول زرکش,51.47785467,35.71514135,
4211,شهید اکبری,51.34654336,35.70011105,
4213,دانشگاه شریف,51.35209619,35.70022592,
4217,شهید حبیب اللهی,51.35430501,35.70027621,
4226,شهید عزیزی,51.3413662,35.70034271,
4295,میدان آزادی,51.33817695,35.69726671,
4345,شهید بختیاری,51.34410421,35.67743519,
4351,ورزشگاه,51.34692392,35.68485818,
4367,شمشیری,51.3471961,35.67336535,
4369,شمشیری,51.3487669,35.67209852,
4383,هاشمی,51.34049755,35.68928448,
4385,هاشمی,51.34057583,35.68863596,
4399,سه‌ راه آذری,51.35173515,35.67104379,
4407,مالک اشتر,51.35516436,35.68318661,
4409,دوراهی قپان,51.36792193,35.66710458,
4414,شمشیری شهید فیاض بخش,51.35365348,35.67071562,
4417,سلیمانی,51.36329177,35.66768365,
4418,امام خمینی,51.36712879,35.68578811,
4419,دو راهی قپان,51.36557322,35.66741918,
4420,دوراهی قپان,51.36684651,35.66721607,
4424,کارون,51.36673705,35.68714986,
4425,فرهنگسرای قرآن,51.35904511,35.66867741,
4427,مالک اشتر,51.35517807,35.68327174,
4429,دوراهی قپان,51.36911869,35.66703206,
4435,قصرالدشت,51.37112383,35.68739541,
4465,بیمارستان,51.36630423,35.69892208,
4467,بهنود,51.36645276,35.69697724,
4469,دامپزشکی,51.36663997,35.69380726,
4471,هاشمی,51.36684874,35.69036531,
4473,کارون,51.3671969,35.68485942,
4475,قصرالدشت,51.36915477,35.6976938,
4477,طوس,51.36947002,35.69521563,
4479,دامپزشکی,51.36982435,35.69247563,
4481,هاشمی,51.37009031,35.69027996,
4483,امام خمینی,51.37051283,35.68686659,
4485,مرتضوی,51.37081186,35.68430602,
4489,آذربایجان,51.37085485,35.69787377,
4507,کلهرنواب,51.37769296,35.69881311,
4522,درمانگاه,51.37150743,35.68646398,
4523,خوش,51.37548381,35.68764664,
4553,قنات,51.36045252,35.68436357,
4559,جیحون,51.36524556,35.68526814,
4561,کارون,51.36801806,35.68579657,
4573,آذری,51.35480635,35.66997758,
4575,میدان شمشیری,51.35387211,35.67034296,
4577,تیموری,51.36121722,35.66813237,
4583,سلیمانی,51.36231652,35.66797408,
4585,تیموری,51.35946539,35.66860577,
4589,فرهنگسرای قرآن,51.35983482,35.66849772,
4595,امامزاده معصوم,51.37397745,35.66803488,
4601,آزادی,51.38058904,35.70032682,
4603,جمهوری اسلامی,51.38100967,35.69629852,
4604,سینا,51.3910763,35.67821994,
4605,آذربایجان,51.38128346,35.69384235,
4607,شکوفه,51.38157944,35.69110118,
4609,امام خمینی,51.38196744,35.68756893,
4610,ولیعصر عج,51.39977206,35.66714708,
4611,مرتضوی,51.38218815,35.68549377,
4612,غفاری,51.39125815,35.67662136,
4616,پایانه کاوه شهید بختیاری,51.38664789,35.70058998,
4622,پایانه معین,51.39555308,35.6597096,
4626,پایانه کاوه شهرک ژاندارمری,51.38701273,35.70060938,
4653,جمالزاده,51.38899638,35.69873128,
4654,پایانه کاوه,51.38691714,35.70059894,
4661,جمهوری اسلامی,51.38338634,35.69621927,
4663,آذربایجان,51.38372371,35.69377543,
4665,شکوفه,51.38405625,35.6909971,
4667,امام خمینی,51.38397127,35.68870271,
4718,مالک اشتر,51.47069073,35.65881885,
4801,عباسی,51.38539423,35.66802074,
4803,عباسی,51.38721581,35.66790517,
4807,میدان رازی,51.39368584,35.66740027,
